LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
LOS ANGELES,9000660A,1180,217,N, ,VBM PORTION,498,323,133
LOS ANGELES,9000660A,1180,217,N,2201,TOTAL,643,384,202
LOS ANGELES,9000668B,1181,111,N, ,POLLING PLACE,212,109,89
LOS ANGELES,9000668B,1181,111,N, ,VBM PORTION,979,609,314
LOS ANGELES,9000668B,1181,111,N,4512,TOTAL,1191,718,403
LOS ANGELES,9000682A,1182,149,N, ,POLLING PLACE,98,66,25
LOS ANGELES,9000682A,1182,149,N, ,VBM PORTION,415,289,74
LOS ANGELES,9000682A,1182,149,N,2749,TOTAL,513,355,99
LOS ANGELES,9000686A,6530,64,Y, ,POLLING PLACE,15,10,4
LOS ANGELES,9000686A,6530,64,Y, ,VBM PORTION,74,40,22
LOS ANGELES,9000686A,6530,64,Y,483,TOTAL,89,50,26
LOS ANGELES,9000692A,6531,86,Y, ,POLLING PLACE,103,53,45
LOS ANGELES,9000692A,6531,86,Y, ,VBM PORTION,398,242,99
LOS ANGELES,9000692A,6531,86,Y,1568,TOTAL,501,295,144
LOS ANGELES,9000694A,1183,166,N, ,POLLING PLACE,429,264,139
LOS ANGELES,9000694A,1183,166,N, ,VBM PORTION,2148,1415,522
LOS ANGELES,9000694A,1183,166,N,5269,TOTAL,2577,1679,661
LOS ANGELES,9000695A,1184,95,N, ,POLLING PLACE,227,51,154
LOS ANGELES,9000695A,1184,95,N, ,VBM PORTION,690,256,337
LOS ANGELES,9000695A,1184,95,N,2748,TOTAL,917,307,491
LOS ANGELES,9000699B,1185,168,N, ,POLLING PLACE,256,170,73
LOS ANGELES,9000699B,1185,168,N, ,VBM PORTION,1422,990,256
LOS ANGELES,9000699B,1185,168,N,3240,TOTAL,1678,1160,329
LOS ANGELES,9000700B,6532,167,Y, ,POLLING PLACE,20,12,8
LOS ANGELES,9000700B,6532,167,Y, ,VBM PORTION,105,60,29
LOS ANGELES,9000700B,6532,167,Y,241,TOTAL,125,72,37
LOS ANGELES,9000709A,1186,69,N, ,POLLING PLACE,155,94,51
LOS ANGELES,9000709A,1186,69,N, ,VBM PORTION,368,251,87
LOS ANGELES,9000709A,1186,69,N,3673,TOTAL,523,345,138
LOS ANGELES,9000713C,6533,114,Y, ,POLLING PLACE,60,30,24
LOS ANGELES,9000713C,6533,114,Y, ,VBM PORTION,245,163,64
LOS ANGELES,9000713C,6533,114,Y,1468,TOTAL,305,193,88
LOS ANGELES,9000716A,6534,195,Y, ,POLLING PLACE,3,3,0
LOS ANGELES,9000716A,6534,195,Y, ,VBM PORTION,9,7,1
LOS ANGELES,9000716A,6534,195,Y,113,TOTAL,12,10,1
LOS ANGELES,9000720C,6535,235,Y, ,POLLING PLACE,12,8,1
LOS ANGELES,9000720C,6535,235,Y, ,VBM PORTION,35,24,10
LOS ANGELES,9000720C,6535,235,Y,393,TOTAL,47,32,11
LOS ANGELES,9000724A,1187,149,N, ,POLLING PLACE,108,74,23
LOS ANGELES,9000724A,1187,149,N, ,VBM PORTION,702,503,99
LOS ANGELES,9000724A,1187,149,N,3615,TOTAL,810,577,122
LOS ANGELES,9000727A,1188,111,N, ,POLLING PLACE,143,73,59
LOS ANGELES,9000727A,1188,111,N, ,VBM PORTION,518,343,133
LOS ANGELES,9000727A,1188,111,N,3863,TOTAL,661,416,192
LOS ANGELES,9000731A,1189,197,N, ,POLLING PLACE,99,65,29
LOS ANGELES,9000731A,1189,197,N, ,VBM PORTION,398,299,64
LOS ANGELES,9000731A,1189,197,N,2216,TOTAL,497,364,93
LOS ANGELES,9000732A,1190,84,N, ,POLLING PLACE,138,80,46
LOS ANGELES,9000732A,1190,84,N, ,VBM PORTION,905,646,156
LOS ANGELES,9000732A,1190,84,N,3302,TOTAL,1043,726,202
LOS ANGELES,9000733A,1191,102,N, ,POLLING PLACE,169,70,85
LOS ANGELES,9000733A,1191,102,N, ,VBM PORTION,747,442,231
LOS ANGELES,9000733A,1191,102,N,3537,TOTAL,916,512,316
LOS ANGELES,9000735A,1192,19,N, ,POLLING PLACE,169,61,94
LOS ANGELES,9000735A,1192,19,N, ,VBM PORTION,1165,613,414
LOS ANGELES,9000735A,1192,19,N,4547,TOTAL,1334,674,508
LOS ANGELES,9000736A,1193,84,N, ,POLLING PLACE,240,178,46
LOS ANGELES,9000736A,1193,84,N, ,VBM PORTION,1118,810,186
LOS ANGELES,9000736A,1193,84,N,4844,TOTAL,1358,988,232
LOS ANGELES,9000739A,6536,202,Y, ,POLLING PLACE,5,5,0
LOS ANGELES,9000739A,6536,202,Y, ,VBM PORTION,15,11,3
LOS ANGELES,9000739A,6536,202,Y,89,TOTAL,20,16,3
LOS ANGELES,9000746A,1194,91,N, ,POLLING PLACE,274,140,116
LOS ANGELES,9000746A,1194,91,N, ,VBM PORTION,1499,888,397
LOS ANGELES,9000746A,1194,91,N,3965,TOTAL,1773,1028,513
LOS ANGELES,9000748A,1195,235,N, ,POLLING PLACE,71,43,19
LOS ANGELES,9000748A,1195,235,N, ,VBM PORTION,267,182,63
LOS ANGELES,9000748A,1195,235,N,2893,TOTAL,338,225,82
LOS ANGELES,9000763A,1196,197,N, ,POLLING PLACE,62,46,8
LOS ANGELES,9000763A,1196,197,N, ,VBM PORTION,207,142,47
LOS ANGELES,9000763A,1196,197,N,1911,TOTAL,269,188,55
LOS ANGELES,9000766A,1197,174,N, ,POLLING PLACE,160,91,61
LOS ANGELES,9000766A,1197,174,N, ,VBM PORTION,883,598,199
LOS ANGELES,9000766A,1197,174,N,2515,TOTAL,1043,689,260
LOS ANGELES,9000770A,1198,176,N, ,POLLING PLACE,97,58,30
LOS ANGELES,9000770A,1198,176,N, ,VBM PORTION,541,386,93
LOS ANGELES,9000770A,1198,176,N,2626,TOTAL,638,444,123
LOS ANGELES,9000780B,1199,115,N, ,POLLING PLACE,148,63,76
LOS ANGELES,9000780B,1199,115,N, ,VBM PORTION,990,606,303
LOS ANGELES,9000780B,1199,115,N,4612,TOTAL,1138,669,379
LOS ANGELES,9000784A,6537,148,Y, ,POLLING PLACE,36,17,19
LOS ANGELES,9000784A,6537,148,Y, ,VBM PORTION,244,153,57
LOS ANGELES,9000784A,6537,148,Y,996,TOTAL,280,170,76
LOS ANGELES,9000785A,1200,173,N, ,POLLING PLACE,150,96,44
LOS ANGELES,9000785A,1200,173,N, ,VBM PORTION,782,515,176
LOS ANGELES,9000785A,1200,173,N,2452,TOTAL,932,611,220
LOS ANGELES,9000789B,1201,173,N, ,POLLING PLACE,221,119,88
LOS ANGELES,9000789B,1201,173,N, ,VBM PORTION,876,567,216
LOS ANGELES,9000789B,1201,173,N,3252,TOTAL,1097,686,304
LOS ANGELES,9000798C,6538,175,Y, ,POLLING PLACE,88,66,19
LOS ANGELES,9000798C,6538,175,Y, ,VBM PORTION,359,293,44
LOS ANGELES,9000798C,6538,175,Y,1378,TOTAL,447,359,63
LOS ANGELES,9000801A,1202,97,N, ,POLLING PLACE,191,87,92
LOS ANGELES,9000801A,1202,97,N, ,VBM PORTION,900,575,224
LOS ANGELES,9000801A,1202,97,N,4204,TOTAL,1091,662,316
LOS ANGELES,9000803D,1203,174,N, ,POLLING PLACE,187,114,69
LOS ANGELES,9000803D,1203,174,N, ,VBM PORTION,994,672,216
LOS ANGELES,9000803D,1203,174,N,2801,TOTAL,1181,786,285
LOS ANGELES,9000816A,6540,173,Y, ,POLLING PLACE,72,49,22
LOS ANGELES,9000816A,6540,173,Y, ,VBM PORTION,287,220,42
LOS ANGELES,9000816A,6540,173,Y,1154,TOTAL,359,269,64
LOS ANGELES,9000819A,1204,171,N, ,POLLING PLACE,148,95,50
LOS ANGELES,9000819A,1204,171,N, ,VBM PORTION,592,428,134
LOS ANGELES,9000819A,1204,171,N,2225,TOTAL,740,523,184
LOS ANGELES,9000821A,1205,175,N, ,POLLING PLACE,166,106,56
LOS ANGELES,9000821A,1205,175,N, ,VBM PORTION,660,490,110
LOS ANGELES,9000821A,1205,175,N,2594,TOTAL,826,596,166
LOS ANGELES,9000826A,1206,171,N, ,POLLING PLACE,185,131,50
LOS ANGELES,9000826A,1206,171,N, ,VBM PORTION,1017,784,191
LOS ANGELES,9000826A,1206,171,N,2701,TOTAL,1202,915,241
LOS ANGELES,9000831B,1207,102,N, ,POLLING PLACE,206,58,123
LOS ANGELES,9000831B,1207,102,N, ,VBM PORTION,853,353,393
LOS ANGELES,9000831B,1207,102,N,2905,TOTAL,1059,411,516
LOS ANGELES,9000836A,6541,73,Y, ,POLLING PLACE,1,0,1
LOS ANGELES,9000836A,6541,73,Y, ,VBM PORTION,1,0,1
LOS ANGELES,9000836A,6541,73,Y,118,TOTAL,2,0,2
LOS ANGELES,9000843A,1208,176,N, ,POLLING PLACE,244,150,85
LOS ANGELES,9000843A,1208,176,N, ,VBM PORTION,1483,1004,318
LOS ANGELES,9000843A,1208,176,N,3795,TOTAL,1727,1154,403
LOS ANGELES,9000844A,1209,149,N, ,POLLING PLACE,144,105,30
LOS ANGELES,9000844A,1209,149,N, ,VBM PORTION,727,539,99
LOS ANGELES,9000844A,1209,149,N,3819,TOTAL,871,644,129
LOS ANGELES,9000852B,6542,167,Y, ,POLLING PLACE,53,44,7
LOS ANGELES,9000852B,6542,167,Y, ,VBM PORTION,265,198,51
LOS ANGELES,9000852B,6542,167,Y,668,TOTAL,318,242,58
LOS ANGELES,9000855A,1210,171,N, ,POLLING PLACE,248,173,69
LOS ANGELES,9000855A,1210,171,N, ,VBM PORTION,1430,1154,222
LOS ANGELES,9000855A,1210,171,N,3732,TOTAL,1678,1327,291
LOS ANGELES,9000856A,1211,173,N, ,POLLING PLACE,222,145,69
LOS ANGELES,9000856A,1211,173,N, ,VBM PORTION,680,503,114
LOS ANGELES,9000856A,1211,173,N,2839,TOTAL,902,648,183
LOS ANGELES,9000867A,1212,288,N, ,POLLING PLACE,55,41,11
LOS ANGELES,9000867A,1212,288,N, ,VBM PORTION,236,162,52
LOS ANGELES,9000867A,1212,288,N,2576,TOTAL,291,203,63
LOS ANGELES,9000870A,1213,187,N, ,POLLING PLACE,79,56,19
LOS ANGELES,9000870A,1213,187,N, ,VBM PORTION,424,311,66
LOS ANGELES,9000870A,1213,187,N,2552,TOTAL,503,367,85
LOS ANGELES,9000874A,1214,168,N, ,POLLING PLACE,202,152,42
LOS ANGELES,9000874A,1214,168,N, ,VBM PORTION,1366,1000,216
LOS ANGELES,9000874A,1214,168,N,3675,TOTAL,1568,1152,258
LOS ANGELES,9000876A,1215,175,N, ,POLLING PLACE,144,104,37
LOS ANGELES,9000876A,1215,175,N, ,VBM PORTION,513,368,114
LOS ANGELES,9000876A,1215,175,N,2563,TOTAL,657,472,151
LOS ANGELES,9000882A,1216,173,N, ,POLLING PLACE,211,116,79
LOS ANGELES,9000882A,1216,173,N, ,VBM PORTION,1129,742,244
LOS ANGELES,9000882A,1216,173,N,3362,TOTAL,1340,858,323
LOS ANGELES,9000884B,1217,188,N, ,POLLING PLACE,183,108,62
LOS ANGELES,9000884B,1217,188,N, ,VBM PORTION,953,640,216
LOS ANGELES,9000884B,1217,188,N,4543,TOTAL,1136,748,278
LOS ANGELES,9000885A,1218,175,N, ,POLLING PLACE,189,113,75
LOS ANGELES,9000885A,1218,175,N, ,VBM PORTION,621,420,149
LOS ANGELES,9000885A,1218,175,N,2219,TOTAL,810,533,224
LOS ANGELES,9000892A,1219,173,N, ,POLLING PLACE,169,102,54
LOS ANGELES,9000892A,1219,173,N, ,VBM PORTION,503,328,121
LOS ANGELES,9000892A,1219,173,N,2534,TOTAL,672,430,175
LOS ANGELES,9000896A,1220,173,N, ,POLLING PLACE,234,134,86
LOS ANGELES,9000896A,1220,173,N, ,VBM PORTION,665,381,193
LOS ANGELES,9000896A,1220,173,N,3140,TOTAL,899,515,279
LOS ANGELES,9000902B,1221,173,N, ,POLLING PLACE,145,78,51
LOS ANGELES,9000902B,1221,173,N, ,VBM PORTION,370,211,110
LOS ANGELES,9000902B,1221,173,N,2336,TOTAL,515,289,161
LOS ANGELES,9000905C,1222,173,N, ,POLLING PLACE,132,77,48
LOS ANGELES,9000905C,1222,173,N, ,VBM PORTION,392,251,102
LOS ANGELES,9000905C,1222,173,N,1880,TOTAL,524,328,150
LOS ANGELES,9000906A,1223,236,N, ,POLLING PLACE,73,49,20
LOS ANGELES,9000906A,1223,236,N, ,VBM PORTION,206,130,56
LOS ANGELES,9000906A,1223,236,N,2773,TOTAL,279,179,76
LOS ANGELES,9000907A,1224,173,N, ,POLLING PLACE,87,41,36
LOS ANGELES,9000907A,1224,173,N, ,VBM PORTION,379,213,108
LOS ANGELES,9000907A,1224,173,N,1625,TOTAL,466,254,144
LOS ANGELES,9000908B,1225,252,N, ,POLLING PLACE,62,35,21
LOS ANGELES,9000908B,1225,252,N, ,VBM PORTION,336,210,92
LOS ANGELES,9000908B,1225,252,N,1760,TOTAL,398,245,113
LOS ANGELES,9000913D,1226,173,N, ,POLLING PLACE,161,90,56
LOS ANGELES,9000913D,1226,173,N, ,VBM PORTION,591,377,150
LOS ANGELES,9000913D,1226,173,N,2784,TOTAL,752,467,206
LOS ANGELES,9000920A,1227,21,N, ,POLLING PLACE,278,119,148
LOS ANGELES,9000920A,1227,21,N, ,VBM PORTION,1133,507,449
LOS ANGELES,9000920A,1227,21,N,3795,TOTAL,1411,626,597
LOS ANGELES,9000921A,1228,236,N, ,POLLING PLACE,59,39,14
LOS ANGELES,9000921A,1228,236,N, ,VBM PORTION,197,128,49
LOS ANGELES,9000921A,1228,236,N,2091,TOTAL,256,167,63
LOS ANGELES,9000922D,1229,175,N, ,POLLING PLACE,114,67,43
LOS ANGELES,9000922D,1229,175,N, ,VBM PORTION,364,248,95
LOS ANGELES,9000922D,1229,175,N,1866,TOTAL,478,315,138
LOS ANGELES,9000923A,1230,196,N, ,POLLING PLACE,71,53,15
LOS ANGELES,9000923A,1230,196,N, ,VBM PORTION,272,201,59
LOS ANGELES,9000923A,1230,196,N,1940,TOTAL,343,254,74
LOS ANGELES,9000926A,6543,236,Y, ,POLLING PLACE,44,21,14
LOS ANGELES,9000926A,6543,236,Y, ,VBM PORTION,91,65,18
LOS ANGELES,9000926A,6543,236,Y,1184,TOTAL,135,86,32
LOS ANGELES,9000928A,1231,235,N, ,POLLING PLACE,79,47,26
LOS ANGELES,9000928A,1231,235,N, ,VBM PORTION,221,161,46
LOS ANGELES,9000928A,1231,235,N,2474,TOTAL,300,208,72
LOS ANGELES,9000929B,1232,175,N, ,POLLING PLACE,238,157,70
LOS ANGELES,9000929B,1232,175,N, ,VBM PORTION,984,732,191
LOS ANGELES,9000929B,1232,175,N,3647,TOTAL,1222,889,261
LOS ANGELES,9000933A,6544,191,Y, ,POLLING PLACE,46,31,11
LOS ANGELES,9000933A,6544,191,Y, ,VBM PORTION,258,184,40
LOS ANGELES,9000933A,6544,191,Y,1164,TOTAL,304,215,51
LOS ANGELES,9000941A,1233,171,N, ,POLLING PLACE,132,90,39
LOS ANGELES,9000941A,1233,171,N, ,VBM PORTION,637,503,116
LOS ANGELES,9000941A,1233,171,N,1925,TOTAL,769,593,155
LOS ANGELES,9000942A,6545,293,Y, ,POLLING PLACE,90,23,59
LOS ANGELES,9000942A,6545,293,Y, ,VBM PORTION,497,253,189
LOS ANGELES,9000942A,6545,293,Y,1751,TOTAL,587,276,248
LOS ANGELES,9000945A,1234,232,N, ,POLLING PLACE,64,43,18
LOS ANGELES,9000945A,1234,232,N, ,VBM PORTION,204,138,40
LOS ANGELES,9000945A,1234,232,N,1994,TOTAL,268,181,58
LOS ANGELES,9000954A,1235,69,N, ,POLLING PLACE,106,57,37
LOS ANGELES,9000954A,1235,69,N, ,VBM PORTION,489,345,102
LOS ANGELES,9000954A,1235,69,N,3132,TOTAL,595,402,139
LOS ANGELES,9000956E,6546,144,Y, ,POLLING PLACE,17,4,9
LOS ANGELES,9000956E,6546,144,Y, ,VBM PORTION,73,47,17
LOS ANGELES,9000956E,6546,144,Y,189,TOTAL,90,51,26
LOS ANGELES,9000961A,6547,195,Y, ,POLLING PLACE,5,5,0
LOS ANGELES,9000961A,6547,195,Y, ,VBM PORTION,3,1,1
LOS ANGELES,9000961A,6547,195,Y,106,TOTAL,8,6,1
LOS ANGELES,9000962A,1236,176,N, ,POLLING PLACE,266,166,93
LOS ANGELES,9000962A,1236,176,N, ,VBM PORTION,1090,742,229
LOS ANGELES,9000962A,1236,176,N,3899,TOTAL,1356,908,322
LOS ANGELES,9000966A,1237,170,N, ,POLLING PLACE,206,153,44
LOS ANGELES,9000966A,1237,170,N, ,VBM PORTION,872,646,116
LOS ANGELES,9000966A,1237,170,N,3776,TOTAL,1078,799,160
LOS ANGELES,9000969A,1238,171,N, ,POLLING PLACE,245,179,58
LOS ANGELES,9000969A,1238,171,N, ,VBM PORTION,1074,811,213
LOS ANGELES,9000969A,1238,171,N,3624,TOTAL,1319,990,271
LOS ANGELES,9000969C,6548,170,Y, ,POLLING PLACE,3,3,0
LOS ANGELES,9000969C,6548,170,Y, ,VBM PORTION,15,11,2
LOS ANGELES,9000969C,6548,170,Y,86,TOTAL,18,14,2
LOS ANGELES,9000970A,1239,170,N, ,POLLING PLACE,227,180,34
LOS ANGELES,9000970A,1239,170,N, ,VBM PORTION,933,729,108
LOS ANGELES,9000970A,1239,170,N,3606,TOTAL,1160,909,142
LOS ANGELES,9000978A,1240,69,N, ,POLLING PLACE,157,97,48
LOS ANGELES,9000978A,1240,69,N, ,VBM PORTION,525,364,118
LOS ANGELES,9000978A,1240,69,N,3787,TOTAL,682,461,166
LOS ANGELES,9000979A,1241,234,N, ,POLLING PLACE,66,44,18
LOS ANGELES,9000979A,1241,234,N, ,VBM PORTION,235,173,48
LOS ANGELES,9000979A,1241,234,N,1989,TOTAL,301,217,66
LOS ANGELES,9000980A,6549,63,Y, ,POLLING PLACE,4,3,1
LOS ANGELES,9000980A,6549,63,Y, ,VBM PORTION,36,23,9
LOS ANGELES,9000980A,6549,63,Y,174,TOTAL,40,26,10
LOS ANGELES,9000981A,1242,234,N, ,POLLING PLACE,60,40,15
LOS ANGELES,9000981A,1242,234,N, ,VBM PORTION,227,158,34
LOS ANGELES,9000981A,1242,234,N,1931,TOTAL,287,198,49
LOS ANGELES,9000986A,1243,236,N, ,POLLING PLACE,51,24,21
LOS ANGELES,9000986A,1243,236,N, ,VBM PORTION,222,169,42
LOS ANGELES,9000986A,1243,236,N,1987,TOTAL,273,193,63
LOS ANGELES,9000994A,1244,300,N, ,POLLING PLACE,86,40,36
LOS ANGELES,9000994A,1244,300,N, ,VBM PORTION,293,158,116
LOS ANGELES,9000994A,1244,300,N,2199,TOTAL,379,198,152
LOS ANGELES,9001000A,1245,205,N, ,POLLING PLACE,57,31,21
LOS ANGELES,9001000A,1245,205,N, ,VBM PORTION,214,148,50
LOS ANGELES,9001000A,1245,205,N,1771,TOTAL,271,179,71
LOS ANGELES,9001001A,1246,300,N, ,POLLING PLACE,117,78,32
LOS ANGELES,9001001A,1246,300,N, ,VBM PORTION,510,324,138
LOS ANGELES,9001001A,1246,300,N,3369,TOTAL,627,402,170
LOS ANGELES,9001005A,1247,300,N, ,POLLING PLACE,203,76,116
LOS ANGELES,9001005A,1247,300,N, ,VBM PORTION,798,417,315
LOS ANGELES,9001005A,1247,300,N,3804,TOTAL,1001,493,431
LOS ANGELES,9001011A,1248,201,N, ,POLLING PLACE,93,53,35
LOS ANGELES,9001011A,1248,201,N, ,VBM PORTION,816,517,207
LOS ANGELES,9001011A,1248,201,N,2335,TOTAL,909,570,242
LOS ANGELES,9001017A,6550,91,Y, ,POLLING PLACE,61,33,27
LOS ANGELES,9001017A,6550,91,Y, ,VBM PORTION,210,151,42
LOS ANGELES,9001017A,6550,91,Y,985,TOTAL,271,184,69
LOS ANGELES,9001019A,1249,103,N, ,POLLING PLACE,158,54,92
LOS ANGELES,9001019A,1249,103,N, ,VBM PORTION,676,317,267
LOS ANGELES,9001019A,1249,103,N,2212,TOTAL,834,371,359
LOS ANGELES,9001019E,6551,103,Y, ,POLLING PLACE,2,2,0
LOS ANGELES,9001019E,6551,103,Y, ,VBM PORTION,88,50,15
LOS ANGELES,9001019E,6551,103,Y,148,TOTAL,90,52,15
LOS ANGELES,9001021A,1250,103,N, ,POLLING PLACE,143,43,90
LOS ANGELES,9001021A,1250,103,N, ,VBM PORTION,664,329,257
LOS ANGELES,9001021A,1250,103,N,2340,TOTAL,807,372,347
LOS ANGELES,9001023A,1251,196,N, ,POLLING PLACE,141,101,33
LOS ANGELES,9001023A,1251,196,N, ,VBM PORTION,759,580,134
LOS ANGELES,9001023A,1251,196,N,4065,TOTAL,900,681,167
LOS ANGELES,9001024A,1252,232,N, ,POLLING PLACE,104,72,28
LOS ANGELES,9001024A,1252,232,N, ,VBM PORTION,263,180,53
LOS ANGELES,9001024A,1252,232,N,2338,TOTAL,367,252,81
LOS ANGELES,9001025A,6552,184,Y, ,POLLING PLACE,4,4,0
LOS ANGELES,9001025A,6552,184,Y, ,VBM PORTION,25,20,5
LOS ANGELES,9001025A,6552,184,Y,216,TOTAL,29,24,5
LOS ANGELES,9001027A,6553,103,Y, ,POLLING PLACE,45,14,28
LOS ANGELES,9001027A,6553,103,Y, ,VBM PORTION,213,93,90
LOS ANGELES,9001027A,6553,103,Y,622,TOTAL,258,107,118
LOS ANGELES,9001029A,1253,102,N, ,POLLING PLACE,304,111,172
LOS ANGELES,9001029A,1253,102,N, ,VBM PORTION,1331,744,474
LOS ANGELES,9001029A,1253,102,N,4325,TOTAL,1635,855,646
LOS ANGELES,9001030A,1254,205,N, ,POLLING PLACE,80,59,19
LOS ANGELES,9001030A,1254,205,N, ,VBM PORTION,397,281,86
LOS ANGELES,9001030A,1254,205,N,2363,TOTAL,477,340,105
LOS ANGELES,9001044A,1255,102,N, ,POLLING PLACE,228,85,138
LOS ANGELES,9001044A,1255,102,N, ,VBM PORTION,1198,581,482
LOS ANGELES,9001044A,1255,102,N,3306,TOTAL,1426,666,620
LOS ANGELES,9001046A,6554,242,Y, ,POLLING PLACE,28,20,7
LOS ANGELES,9001046A,6554,242,Y, ,VBM PORTION,33,28,2
LOS ANGELES,9001046A,6554,242,Y,594,TOTAL,61,48,9
LOS ANGELES,9001047B,1256,196,N, ,POLLING PLACE,57,30,16
LOS ANGELES,9001047B,1256,196,N, ,VBM PORTION,290,202,61
LOS ANGELES,9001047B,1256,196,N,1912,TOTAL,347,232,77
LOS ANGELES,9001049A,1257,97,N, ,POLLING PLACE,188,62,106
LOS ANGELES,9001049A,1257,97,N, ,VBM PORTION,937,457,364
LOS ANGELES,9001049A,1257,97,N,3370,TOTAL,1125,519,470
LOS ANGELES,9001050A,1258,69,N, ,POLLING PLACE,118,63,46
LOS ANGELES,9001050A,1258,69,N, ,VBM PORTION,314,188,101
LOS ANGELES,9001050A,1258,69,N,2792,TOTAL,432,251,147
LOS ANGELES,9001055A,1259,235,N, ,POLLING PLACE,47,24,18
LOS ANGELES,9001055A,1259,235,N, ,VBM PORTION,222,149,51
LOS ANGELES,9001055A,1259,235,N,2228,TOTAL,269,173,69
LOS ANGELES,9001061B,1260,288,N, ,POLLING PLACE,16,11,5
LOS ANGELES,9001061B,1260,288,N, ,VBM PORTION,71,48,7
LOS ANGELES,9001061B,1260,288,N,1298,TOTAL,87,59,12
LOS ANGELES,9001062A,6555,173,Y, ,POLLING PLACE,61,42,15
LOS ANGELES,9001062A,6555,173,Y, ,VBM PORTION,241,165,36
LOS ANGELES,9001062A,6555,173,Y,1647,TOTAL,302,207,51
LOS ANGELES,9001065A,1261,66,N, ,POLLING PLACE,162,70,88
LOS ANGELES,9001065A,1261,66,N, ,VBM PORTION,606,368,207
LOS ANGELES,9001065A,1261,66,N,3074,TOTAL,768,438,295
LOS ANGELES,9001070A,1262,97,N, ,POLLING PLACE,233,77,135
LOS ANGELES,9001070A,1262,97,N, ,VBM PORTION,1385,724,515
LOS ANGELES,9001070A,1262,97,N,3778,TOTAL,1618,801,650
LOS ANGELES,9001073A,6556,98,Y, ,POLLING PLACE,63,23,37
LOS ANGELES,9001073A,6556,98,Y, ,VBM PORTION,499,243,168
LOS ANGELES,9001073A,6556,98,Y,1133,TOTAL,562,266,205
LOS ANGELES,9001078A,1263,187,N, ,POLLING PLACE,138,113,20
LOS ANGELES,9001078A,1263,187,N, ,VBM PORTION,497,404,68
LOS ANGELES,9001078A,1263,187,N,3246,TOTAL,635,517,88
LOS ANGELES,9001080A,6557,91,Y, ,POLLING PLACE,96,46,46
LOS ANGELES,9001080A,6557,91,Y, ,VBM PORTION,616,323,205
LOS ANGELES,9001080A,6557,91,Y,1433,TOTAL,712,369,251
LOS ANGELES,9001092C,1264,91,N, ,POLLING PLACE,292,134,147
LOS ANGELES,9001092C,1264,91,N, ,VBM PORTION,1746,943,577
LOS ANGELES,9001092C,1264,91,N,4552,TOTAL,2038,1077,724
LOS ANGELES,9001094A,1265,91,N, ,POLLING PLACE,283,134,129
LOS ANGELES,9001094A,1265,91,N, ,VBM PORTION,1509,1025,276
LOS ANGELES,9001094A,1265,91,N,4509,TOTAL,1792,1159,405
LOS ANGELES,9001098A,1266,186,N, ,POLLING PLACE,93,70,18
LOS ANGELES,9001098A,1266,186,N, ,VBM PORTION,490,358,70
LOS ANGELES,9001098A,1266,186,N,2826,TOTAL,583,428,88
LOS ANGELES,9001100A,1267,59,N, ,POLLING PLACE,233,67,156
LOS ANGELES,9001100A,1267,59,N, ,VBM PORTION,1163,545,503
LOS ANGELES,9001100A,1267,59,N,3321,TOTAL,1396,612,659
LOS ANGELES,9001104A,1268,175,N, ,POLLING PLACE,161,113,39
LOS ANGELES,9001104A,1268,175,N, ,VBM PORTION,790,597,150
LOS ANGELES,9001104A,1268,175,N,3536,TOTAL,951,710,189
LOS ANGELES,9001106A,1269,91,N, ,POLLING PLACE,250,131,105
LOS ANGELES,9001106A,1269,91,N, ,VBM PORTION,1381,865,347
LOS ANGELES,9001106A,1269,91,N,4253,TOTAL,1631,996,452
LOS ANGELES,9001111A,1270,217,N, ,POLLING PLACE,250,158,84
LOS ANGELES,9001111A,1270,217,N, ,VBM PORTION,1395,1041,266
LOS ANGELES,9001111A,1270,217,N,4611,TOTAL,1645,1199,350
LOS ANGELES,9001113A,1271,91,N, ,POLLING PLACE,244,145,95
LOS ANGELES,9001113A,1271,91,N, ,VBM PORTION,1374,890,320
LOS ANGELES,9001113A,1271,91,N,3897,TOTAL,1618,1035,415
LOS ANGELES,9001120A,1272,91,N, ,POLLING PLACE,231,100,114
LOS ANGELES,9001120A,1272,91,N, ,VBM PORTION,1573,951,417
LOS ANGELES,9001120A,1272,91,N,4478,TOTAL,1804,1051,531
LOS ANGELES,9001128A,1273,170,N, ,POLLING PLACE,165,119,41
LOS ANGELES,9001128A,1273,170,N, ,VBM PORTION,793,581,100
LOS ANGELES,9001128A,1273,170,N,3294,TOTAL,958,700,141
LOS ANGELES,9001130B,1274,235,N, ,POLLING PLACE,60,32,27
LOS ANGELES,9001130B,1274,235,N, ,VBM PORTION,161,116,25
LOS ANGELES,9001130B,1274,235,N,2009,TOTAL,221,148,52
LOS ANGELES,9001151A,1275,235,N, ,POLLING PLACE,57,40,15
LOS ANGELES,9001151A,1275,235,N, ,VBM PORTION,306,211,60
LOS ANGELES,9001151A,1275,235,N,3205,TOTAL,363,251,75
LOS ANGELES,9001159A,1276,229,N, ,POLLING PLACE,69,46,18
LOS ANGELES,9001159A,1276,229,N, ,VBM PORTION,208,150,44
LOS ANGELES,9001159A,1276,229,N,2849,TOTAL,277,196,62
LOS ANGELES,9001164A,1277,88,N, ,POLLING PLACE,192,111,73
